id,condition,time,Delta,Theta,Alpha,Beta,Gamma,Sum
27,flow,33,76301.0,49390.0,43949.0,15064.0,7567.0,39
27,flow,34,372052.0,44369.0,9100.0,7131.0,1424.0,39
27,flow,35,1637782.0,37120.0,25673.0,21569.0,3481.0,39
27,flow,36,161781.0,88663.0,37310.0,19195.0,7682.0,39
27,flow,37,5660.0,14558.0,12280.0,5007.0,4919.0,39
27,flow,38,321531.0,54299.0,12396.0,13347.0,2398.0,39
27,flow,39,81969.0,35315.0,30947.0,15786.0,6771.0,39
27,flow,40,12038.0,60172.0,12561.0,8526.0,3408.0,39
27,flow,41,80177.0,67960.0,28548.0,18809.0,9178.0,39
27,flow,42,253899.0,27707.0,18850.0,20950.0,3736.0,39
27,flow,43,130071.0,87876.0,14719.0,12027.0,6794.0,39
27,flow,44,80422.0,56051.0,23898.0,23485.0,6412.0,39
27,flow,45,720771.0,33879.0,33821.0,13925.0,4257.0,39
27,flow,46,9199.0,28732.0,35292.0,6460.0,5083.0,39
27,flow,47,9209.0,22167.0,22227.0,6455.0,3115.0,39
27,flow,48,10735.0,20042.0,11002.0,12613.0,3686.0,39
27,flow,49,59521.0,5436.0,3823.0,1052.0,366.0,39
27,flow,50,13167.0,16168.0,19517.0,9060.0,6452.0,39
27,flow,51,18526.0,15325.0,12465.0,6960.0,5166.0,39
27,flow,52,97578.0,177429.0,47935.0,20520.0,3565.0,39
27,flow,53,21587.0,64815.0,17875.0,12130.0,4093.0,39
27,flow,54,4107.0,15669.0,9713.0,14289.0,3832.0,39
27,flow,55,7422.0,18950.0,11946.0,11226.0,8066.0,39
27,flow,56,308788.0,89687.0,21457.0,13380.0,8997.0,39
27,flow,57,445835.0,16652.0,8697.0,3865.0,1404.0,39
27,flow,58,12270.0,22796.0,5190.0,12207.0,5369.0,39
27,flow,59,21236.0,5437.0,10251.0,6739.0,4602.0,39
27,flow,60,586236.0,69654.0,20526.0,19129.0,6620.0,39
27,flow,61,102790.0,6927.0,30813.0,14423.0,7848.0,39
27,flow,62,468282.0,63079.0,12070.0,6983.0,980.0,39
27,flow,63,60495.0,39462.0,48851.0,13000.0,11635.0,39
27,flow,64,24681.0,17747.0,10660.0,16373.0,2937.0,39
27,flow,65,19739.0,31495.0,30129.0,13234.0,6304.0,39
27,flow,66,37898.0,104935.0,44408.0,12459.0,8642.0,39
27,flow,67,8821.0,39773.0,12498.0,7736.0,5284.0,39
27,flow,68,10669.0,26997.0,10133.0,7359.0,5860.0,39
27,flow,69,87153.0,78956.0,27787.0,30256.0,6143.0,39
27,flow,70,209064.0,20386.0,5756.0,2382.0,1432.0,39
27,flow,71,6564.0,4463.0,22823.0,7242.0,5166.0,39
27,flow,72,59665.0,17205.0,9281.0,9605.0,3638.0,39
27,flow,73,224725.0,17873.0,5795.0,2355.0,1975.0,39
27,flow,74,126613.0,20146.0,22829.0,16933.0,8501.0,39
27,flow,75,207223.0,170153.0,36250.0,22209.0,4712.0,39
27,flow,76,804406.0,70882.0,20167.0,11266.0,5144.0,39
27,flow,77,12327.0,22777.0,10553.0,11291.0,6642.0,39
27,flow,78,19089.0,23740.0,9589.0,11307.0,3808.0,39
27,flow,79,5180.0,2324.0,7943.0,5777.0,2846.0,39
27,flow,80,30461.0,8185.0,13771.0,24248.0,3741.0,39
27,flow,81,509378.0,31759.0,6794.0,6245.0,2775.0,39
27,flow,82,5839.0,10404.0,19430.0,12263.0,7525.0,39
27,flow,83,33974.0,18870.0,28556.0,10121.0,7824.0,39
27,flow,84,748143.0,55038.0,71036.0,13113.0,5807.0,39
27,flow,85,416078.0,36012.0,35039.0,15683.0,4320.0,39
27,flow,86,22818.0,45855.0,29543.0,12528.0,3250.0,39
27,flow,87,369931.0,24722.0,14691.0,16730.0,5307.0,39
27,flow,88,175658.0,114765.0,17527.0,20150.0,11323.0,39
27,flow,89,6731.0,13696.0,20367.0,16995.0,8776.0,39
27,flow,90,30514.0,13363.0,14716.0,10783.0,4727.0,39
27,flow,91,18844.0,7780.0,14970.0,13186.0,6601.0,39
27,flow,92,103523.0,84759.0,53361.0,4738.0,4595.0,39
27,flow,93,7540.0,20785.0,12039.0,13746.0,5096.0,39
27,flow,94,39255.0,38016.0,28455.0,17281.0,6470.0,39
27,flow,95,1149866.0,79778.0,67234.0,49469.0,9836.0,39
27,flow,96,27893.0,26333.0,20605.0,21472.0,4227.0,39
27,flow,97,27726.0,7264.0,11793.0,6788.0,4288.0,39
27,flow,98,620640.0,58410.0,30777.0,11278.0,4534.0,39
27,flow,99,11951.0,77221.0,35175.0,12717.0,5202.0,39
27,flow,100,642145.0,113638.0,40774.0,10566.0,6471.0,39
27,flow,101,8011.0,15549.0,17966.0,11979.0,2335.0,39
27,flow,102,134682.0,139295.0,36146.0,25358.0,6614.0,39
27,flow,103,120931.0,14330.0,10501.0,3585.0,2307.0,39
27,flow,104,54247.0,48653.0,25643.0,14233.0,6709.0,39
27,flow,105,68527.0,35586.0,40998.0,20622.0,12396.0,39
27,flow,106,7569.0,23434.0,10254.0,9238.0,7784.0,39
27,flow,107,62165.0,37833.0,17326.0,12250.0,8862.0,39
27,flow,108,267944.0,124489.0,80368.0,28731.0,5061.0,39
27,flow,109,29856.0,22618.0,22993.0,18157.0,4867.0,39
27,flow,110,579205.0,16356.0,19633.0,2054.0,1513.0,39
27,flow,111,18190.0,7077.0,12142.0,10370.0,5183.0,39
27,flow,112,102563.0,17729.0,15061.0,9466.0,7044.0,39
27,flow,113,132265.0,70331.0,28285.0,14754.0,9478.0,39
27,flow,114,4004.0,5958.0,21777.0,9496.0,4111.0,39
27,flow,115,110782.0,49717.0,53774.0,19007.0,9607.0,39
27,flow,116,9760.0,49608.0,16991.0,12388.0,15255.0,39
27,flow,117,2335.0,6170.0,8671.0,17868.0,5330.0,39
27,flow,118,55563.0,15886.0,40458.0,17639.0,8731.0,39
27,flow,119,49445.0,57409.0,37769.0,26976.0,5351.0,39
27,flow,120,12032.0,23221.0,30856.0,10316.0,7042.0,39
27,flow,121,198643.0,15228.0,14648.0,3890.0,1421.0,39
27,flow,122,425550.0,218986.0,47317.0,23586.0,6485.0,39
27,flow,123,150873.0,13095.0,15410.0,3863.0,2340.0,39
27,flow,124,529608.0,46697.0,15299.0,17368.0,6741.0,39
27,flow,125,75878.0,20520.0,4110.0,5336.0,1466.0,39
27,flow,126,28402.0,1787.0,10398.0,9811.0,10568.0,39
27,flow,127,23053.0,16886.0,24699.0,12899.0,3070.0,39
27,flow,128,3973.0,39684.0,26895.0,17206.0,5661.0,39
27,flow,129,114550.0,33159.0,12179.0,3718.0,1862.0,39
27,flow,130,154869.0,65493.0,11362.0,6343.0,3048.0,39
27,flow,131,11203.0,6975.0,15980.0,9105.0,3657.0,39
27,flow,132,1027458.0,144221.0,65140.0,31695.0,9641.0,39
27,flow,133,55131.0,56756.0,40637.0,14620.0,5570.0,39
27,flow,134,403471.0,144441.0,75471.0,19589.0,3939.0,39
27,flow,135,1354200.0,148445.0,11693.0,8598.0,10943.0,39
27,flow,136,292016.0,42541.0,29411.0,17813.0,5022.0,39
27,flow,137,459248.0,78455.0,36573.0,18119.0,10130.0,39
27,flow,138,33465.0,68718.0,15976.0,9527.0,6447.0,39
27,flow,139,6428.0,14922.0,15861.0,9007.0,6211.0,39
27,flow,140,19403.0,27503.0,9934.0,17206.0,2796.0,39
27,flow,141,195223.0,84798.0,75446.0,18037.0,7009.0,39
27,flow,142,22168.0,5250.0,17223.0,7088.0,6357.0,39
27,flow,143,109710.0,30877.0,10589.0,4250.0,2573.0,39
27,flow,144,5599.0,9720.0,9084.0,13157.0,4747.0,39
27,flow,145,48273.0,17803.0,8461.0,5074.0,2456.0,39
27,flow,146,2011003.0,192977.0,40155.0,28482.0,6983.0,39
27,flow,147,619284.0,87206.0,33201.0,16730.0,8452.0,39
27,flow,148,19407.0,8421.0,19122.0,16032.0,9844.0,39
27,flow,149,6778.0,20963.0,16896.0,8038.0,3155.0,39
27,flow,150,15995.0,13070.0,12568.0,11630.0,5235.0,39
27,flow,151,289849.0,93520.0,16695.0,13190.0,4830.0,39
27,flow,152,574798.0,17076.0,23479.0,19522.0,5713.0,39
27,flow,153,156231.0,133385.0,59860.0,8871.0,3269.0,39
27,flow,154,65315.0,11838.0,45440.0,13889.0,5180.0,39
27,flow,155,15315.0,17245.0,45095.0,8029.0,5389.0,39
27,flow,156,502955.0,21429.0,71104.0,22258.0,5956.0,39
27,flow,157,1655915.0,163432.0,61951.0,18385.0,3968.0,39
27,flow,158,4132.0,14261.0,5601.0,13081.0,2402.0,39
27,flow,159,6999.0,21972.0,12219.0,13576.0,4296.0,39
27,flow,160,19880.0,20824.0,17543.0,32574.0,3623.0,39
27,flow,161,62824.0,40428.0,36924.0,22474.0,7785.0,39
27,flow,162,16695.0,25365.0,23891.0,9063.0,5790.0,39
27,flow,163,83883.0,142984.0,69131.0,9530.0,9327.0,39
27,flow,164,27431.0,12321.0,24656.0,15718.0,6426.0,39
27,flow,165,203564.0,106516.0,54328.0,12643.0,5874.0,39
27,flow,166,18166.0,76306.0,25112.0,12978.0,5416.0,39
27,flow,167,26067.0,24393.0,21667.0,9318.0,5773.0,39
27,flow,168,6002.0,38078.0,10150.0,12391.0,6015.0,39
27,flow,169,184310.0,25224.0,11219.0,7325.0,2965.0,39
27,flow,170,20835.0,2923.0,31064.0,14802.0,5791.0,39
27,flow,171,4766.0,10815.0,11536.0,7764.0,4760.0,39
27,flow,172,23427.0,15576.0,15524.0,4990.0,5435.0,39
27,flow,173,87051.0,206099.0,55321.0,13208.0,4121.0,39
27,flow,174,42149.0,92803.0,24831.0,13161.0,5945.0,39
27,flow,175,31135.0,8943.0,28526.0,24241.0,3242.0,39
27,flow,176,26872.0,62731.0,50932.0,15825.0,5185.0,39
27,flow,177,512118.0,29726.0,14129.0,4138.0,1886.0,39
27,flow,178,685767.0,20354.0,20664.0,12019.0,3290.0,39
27,flow,179,12231.0,7465.0,17103.0,7028.0,5567.0,39
27,flow,180,23341.0,42012.0,15743.0,15612.0,9229.0,39
27,flow,181,19299.0,48608.0,23492.0,15499.0,4658.0,39
27,flow,182,624793.0,242786.0,59106.0,14236.0,9982.0,39
27,flow,183,140959.0,18287.0,13291.0,21070.0,8479.0,39
27,flow,184,781784.0,207105.0,14900.0,19456.0,7230.0,39
27,flow,185,283562.0,158314.0,19595.0,23428.0,7915.0,39
27,flow,186,289913.0,13149.0,25140.0,20961.0,2907.0,39
27,flow,187,438273.0,12178.0,22791.0,23228.0,10204.0,39
27,flow,188,2198865.0,152912.0,31279.0,65848.0,11469.0,39
27,flow,189,22424.0,27551.0,20277.0,11257.0,5288.0,39
27,flow,190,4381.0,13038.0,11694.0,8683.0,9772.0,39
27,flow,191,344333.0,96172.0,64208.0,19042.0,10712.0,39
27,flow,192,135287.0,34441.0,19143.0,5339.0,2399.0,39
27,flow,193,1194926.0,401428.0,55231.0,26570.0,8490.0,39
27,flow,194,182525.0,53095.0,19629.0,13589.0,8666.0,39
27,flow,195,29844.0,19575.0,17762.0,8333.0,4867.0,39
27,flow,196,16638.0,22042.0,16560.0,10465.0,5516.0,39
27,flow,197,95624.0,20277.0,8483.0,5552.0,2005.0,39
27,flow,198,19177.0,16831.0,13929.0,10656.0,6144.0,39
27,flow,199,8601.0,18323.0,32588.0,10239.0,6418.0,39
27,flow,200,31116.0,71992.0,23108.0,12795.0,5354.0,39
27,flow,201,10219.0,15846.0,21161.0,8872.0,6835.0,39
27,flow,202,367199.0,30097.0,29613.0,11141.0,8091.0,39
