,id,condition,Delta,Theta,Alpha,Beta,Gamma,Sum,segment,start,end
246,8,easy,127095.30000000002,54860.733333333344,-82650.63333333333,3617.4666666666635,2056.866666666665,37.0,2.0,31.0,60.0
247,8,flow,87464.36666666667,104903.56666666665,-88697.36666666667,2326.4666666666635,-4212.5,39.0,2.0,31.0,60.0
248,8,free_recall,-61942.566666666666,1832.4333333333343,-49482.3,-1807.1666666666679,-5392.8,33.0,2.0,31.0,60.0
249,8,hard,148910.03333333333,30822.06666666666,-74322.03333333334,1895.3666666666613,1418.6000000000022,36.0,2.0,31.0,60.0
251,8,mindfulness,-7896.266666666663,5980.133333333331,-25720.133333333346,3788.0666666666657,-71.69999999999891,44.0,2.0,31.0,60.0
252,9,art,39635.3666666667,7435.066666666666,-4357.366666666661,9034.800000000003,11139.933333333334,40.0,2.0,31.0,60.0
253,9,easy,536411.3,98292.23333333334,14976.933333333334,13522.433333333334,26534.46666666667,34.0,2.0,31.0,60.0
254,9,flow,628836.5,158732.19999999998,17522.699999999997,40481.53333333334,30407.366666666658,32.0,2.0,31.0,60.0
255,9,free_recall,-57863.26666666666,-4770.600000000006,5651.9000000000015,627.3333333333358,3901.0666666666693,43.0,2.0,31.0,60.0
256,9,hard,409141.1666666667,80573.29999999999,4828.533333333326,26510.300000000003,12034.766666666666,25.0,2.0,31.0,60.0
258,9,mindfulness,-122881.19999999998,-7097.066666666673,25737.766666666663,2082.0333333333365,198.33333333333212,43.0,2.0,31.0,60.0
259,10,art,94301.63333333333,17145.63333333333,16306.73333333333,-2078.7333333333336,4422.199999999999,36.0,2.0,31.0,60.0
260,10,easy,136068.03333333335,38576.09999999999,23305.96666666666,664.2666666666664,4884.766666666668,39.0,2.0,31.0,60.0
261,10,flow,531961.9333333333,79186.43333333333,58962.86666666666,20462.46666666667,6107.466666666667,39.0,2.0,31.0,60.0
262,10,free_recall,-17924.8,204.03333333333285,20899.800000000003,3024.100000000002,547.7999999999993,38.0,2.0,31.0,60.0
263,10,hard,39988.63333333334,53767.16666666667,33254.066666666666,-3376.6333333333314,-427.16666666666697,37.0,2.0,31.0,60.0
265,10,mindfulness,11928.099999999999,3169.033333333333,32648.1,3996.600000000002,731.9333333333334,41.0,2.0,31.0,60.0
266,11,art,-89151.29999999994,7822.233333333337,4817.733333333334,-11256.133333333335,-16938.93333333333,45.0,2.0,31.0,60.0
267,11,easy,-41983.43333333329,18101.200000000004,-6163.066666666666,-13886.2,-16418.866666666665,43.0,2.0,31.0,60.0
268,11,flow,-134643.36666666664,-5735.666666666664,-3433.333333333332,-5333.5333333333365,-12010.866666666665,43.0,2.0,31.0,60.0
269,11,free_recall,-79224.43333333329,-11784.666666666664,18632.499999999996,-10713.666666666668,-13942.73333333333,42.0,2.0,31.0,60.0
270,11,hard,-140807.06666666662,-14726.466666666664,-12903.933333333334,-9214.83333333334,-12381.699999999999,40.0,2.0,31.0,60.0
272,11,mindfulness,-158136.96666666662,-11638.0,35302.09999999999,-4397.266666666666,-14385.733333333332,45.0,2.0,31.0,60.0
273,12,art,60917.26666666668,8973.166666666664,-46403.2,-1043.533333333331,3038.133333333334,43.0,2.0,31.0,60.0
274,12,easy,244401.6666666667,51928.8,-37151.7,7207.533333333331,5968.000000000001,30.0,2.0,31.0,60.0
275,12,flow,184484.66666666663,24932.56666666667,-31301.16666666667,7737.633333333333,8508.566666666666,34.0,2.0,31.0,60.0
276,12,free_recall,108715.60000000002,13072.466666666664,18105.5,6414.500000000002,2793.133333333334,38.0,2.0,31.0,60.0
277,12,hard,30928.899999999994,4722.466666666667,-48737.7,218.89999999999964,8290.5,22.0,2.0,31.0,60.0
279,12,mindfulness,92431.46666666667,36959.73333333332,23992.833333333358,-374.89999999999964,2556.7000000000007,38.0,2.0,31.0,60.0
280,13,art,-156803.4999999999,-24724.433333333334,1286.5666666666693,-2988.533333333333,3330.366666666665,45.0,2.0,31.0,60.0
281,13,easy,35823.10000000009,-3902.600000000006,1768.3333333333358,-3529.8666666666686,-1794.4333333333334,40.0,2.0,31.0,60.0
282,13,flow,-129763.93333333329,21019.66666666667,7374.299999999996,4550.333333333336,23.46666666666715,40.0,2.0,31.0,60.0
283,13,free_recall,17447.0,-23606.800000000003,-8722.533333333333,-8419.699999999999,-184.30000000000018,38.0,2.0,31.0,60.0
284,13,hard,-121098.03333333327,-32380.066666666666,40.33333333333576,-5639.133333333331,187.1333333333332,37.0,2.0,31.0,60.0
286,13,mindfulness,-137577.4666666666,-11630.333333333328,10845.099999999999,7186.699999999997,1089.5333333333338,41.0,2.0,31.0,60.0
287,14,art,48050.10000000002,3992.2666666666664,-47041.90000000001,4249.566666666662,392.7333333333336,42.0,2.0,31.0,60.0
288,14,easy,326483.63333333336,46806.4,-38053.50000000001,10071.199999999997,2521.866666666667,40.0,2.0,31.0,60.0
289,14,flow,58316.466666666674,19443.033333333333,-40117.40000000001,4247.433333333331,1887.7333333333336,37.0,2.0,31.0,60.0
290,14,free_recall,-32094.566666666666,-4207.133333333331,6384.166666666657,1135.699999999999,-195.1333333333332,35.0,2.0,31.0,60.0
291,14,hard,-13523.699999999997,-602.4333333333343,-51846.33333333334,-1424.0,-661.166666666667,36.0,2.0,31.0,60.0
